0:0:0:0:0:0:0:1 - - [15/Jul/2014:19:58:13 +0530] "GET /ArdentFinalProject/images/facebook.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2014:19:58:13 +0530] "GET /ArdentFinalProject/images/rss.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2014:19:59:32 +0530] "GET /ArdentFinalProject/manage.jsp HTTP/1.1" 200 8458
0:0:0:0:0:0:0:1 - - [15/Jul/2014:19:59:32 +0530] "GET /ArdentFinalProject/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2014:19:59:32 +0530] "GET /ArdentFinalProject/images/twitter.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2014:19:59:32 +0530] "GET /ArdentFinalProject/images/facebook.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2014:19:59:32 +0530] "GET /ArdentFinalProject/images/rss.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2014:20:12:59 +0530] "GET /ArdentFinalProject/manage.jsp HTTP/1.1" 200 8854
0:0:0:0:0:0:0:1 - - [15/Jul/2014:20:12:59 +0530] "GET /ArdentFinalProject/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2014:20:12:59 +0530] "GET /ArdentFinalProject/images/rss.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2014:20:12:59 +0530] "GET /ArdentFinalProject/images/twitter.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2014:20:12:59 +0530] "GET /ArdentFinalProject/images/facebook.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2014:20:15:34 +0530] "GET /ArdentFinalProject/manage.jsp HTTP/1.1" 200 8840
0:0:0:0:0:0:0:1 - - [15/Jul/2014:20:15:34 +0530] "GET /ArdentFinalProject/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2014:20:15:34 +0530] "GET /ArdentFinalProject/images/rss.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2014:20:15:34 +0530] "GET /ArdentFinalProject/images/facebook.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2014:20:15:34 +0530] "GET /ArdentFinalProject/images/twitter.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2014:20:15:37 +0530] "GET /ArdentFinalProject/manage.jsp HTTP/1.1" 200 8840
0:0:0:0:0:0:0:1 - - [15/Jul/2014:20:15:37 +0530] "GET /ArdentFinalProject/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2014:20:15:37 +0530] "GET /ArdentFinalProject/images/twitter.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2014:20:15:37 +0530] "GET /ArdentFinalProject/images/facebook.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2014:20:15:37 +0530] "GET /ArdentFinalProject/images/rss.png HTTP/1.1" 304 -
